Job Title,Job Company,Job Location,Salary Estimate,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue,Company 
Machine Learning Engineer,"Save-On-Foods
3.5",Langley,CA$41K - CA$82K (Glassdoor est.),"3.5
★★★★★",265,51 to 200 Employees,,Company - Private,Grocery Stores & Supermarkets,Retail,Unknown / Non-Applicable,
"Senior Data Scientist, Machine Learning - 325269","Procom
4.1",Vancouver,CA$101K - CA$110K (Glassdoor est.),"4.1
★★★★★",157,5001 to 10000 Employees,1978,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),
Senior Computer Vision & Machine Learning Applied Scientist,"Prenuvo
5.0",Vancouver,CA$80K - CA$104K (Glassdoor est.),"5.0
★★★★★",4,1 to 50 Employees,,Company - Private,Health Care Services & Hospitals,Health Care,,
Data Scientist,"First West Credit Union
3.6",Langley,CA$98K - CA$119K (Glassdoor est.),"3.6
★★★★★",49,1001 to 5000 Employees,2010,Company - Private,Banks & Credit Unions,Finance,$5 to $10 billion (USD),
Senior Simulation Data Scientist,"Recruiting From Scratch
4.9",Vancouver,CA$83K - CA$141K (Glassdoor est.),"4.9
★★★★★",9,1 to 50 Employees,2019,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),
Sr Manager Data Science,"Coast Capital Savings Federal Credit Union
3.5",Surrey,CA$71K - CA$94K (Glassdoor est.),"3.5
★★★★★",54,1001 to 5000 Employees,1940,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),
"Associate Educator, Data Scientist","BrainStation
4.1",Vancouver,CA$97K - CA$145K (Glassdoor est.),"4.1
★★★★★",49,201 to 500 Employees,2012,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,
Applied Scientist,"LUCID Vision Labs
3.0",Richmond,CA$67K - CA$93K (Glassdoor est.),"3.0
★★★★★",0,Unknown,,Company - Private,,,Unknown / Non-Applicable,
Senior Data Scientist - Speech Recognition,"Global Relay
3.8",Vancouver,CA$79K - CA$94K (Glassdoor est.),"3.8
★★★★★",98,501 to 1000 Employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),
"Data Engineer, Machine Learning","AbCellera
4.9",Vancouver,CA$80K - CA$104K (Glassdoor est.),"4.9
★★★★★",0,51 to 200 Employees,,Company - Public,,,Unknown / Non-Applicable,
Machine Learning Engineer,"Variational AI
3.5",Vancouver,CA$80K - CA$104K (Glassdoor est.),"3.5
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,
Machine Learning Engineer,Bluvec Technologies Inc.,Burnaby,CA$70K - CA$120K (Employer est.),-1,0,Unknown,,Company - Private,,,Unknown / Non-Applicable,
Machine Learning/Research Engineer,"BLANKSLATE Partners Inc
4.7",Vancouver,CA$85K - CA$100K (Employer est.),"4.7
★★★★★",0,1 to 50 Employees,2014,Company - Private,Consulting,Business Services,Less than $1 million (USD),
Machine Learning Engineer,"DarkVision
5.0",North Vancouver,CA$80K - CA$104K (Glassdoor est.),"5.0
★★★★★",10,51 to 200 Employees,2013,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,
Machine Learning Engineer,"Save-On-Foods
3.5",Langley,CA$41K - CA$82K (Glassdoor est.),"3.5
★★★★★",265,51 to 200 Employees,,Company - Private,Grocery Stores & Supermarkets,Retail,Unknown / Non-Applicable,
"Senior Data Scientist, Machine Learning - 325269","Procom
4.1",Vancouver,CA$101K - CA$110K (Glassdoor est.),"4.1
★★★★★",157,5001 to 10000 Employees,1978,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),
Senior Computer Vision & Machine Learning Applied Scientist,"Prenuvo
5.0",Vancouver,CA$80K - CA$104K (Glassdoor est.),"5.0
★★★★★",4,1 to 50 Employees,,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,
Machine Learning/Research Engineer,"BLANKSLATE Partners Inc
4.7",Vancouver,CA$85K - CA$100K (Employer est.),"4.7
★★★★★",0,1 to 50 Employees,2014,Company - Private,Consulting,Business Services,Less than $1 million (USD),
Machine Learning Engineer,"Variational AI
3.5",Vancouver,CA$80K - CA$104K (Glassdoor est.),"3.5
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,
Applied Scientist,"LUCID Vision Labs
3.0",Richmond,CA$67K - CA$93K (Glassdoor est.),"3.0
★★★★★",0,Unknown,,Company - Private,,,Unknown / Non-Applicable,
Senior Simulation Data Scientist,"Recruiting From Scratch
4.9",Vancouver,CA$83K - CA$141K (Glassdoor est.),"4.9
★★★★★",9,1 to 50 Employees,2019,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),
Data Scientist – Antibody Assessment,"AbCellera
4.9",Vancouver,CA$83K - CA$141K (Glassdoor est.),"4.9
★★★★★",0,51 to 200 Employees,,Company - Public,,,Unknown / Non-Applicable,
"Applied Scientist, Personalization","Amazon Dev Centre Canada ULC
3.7",Vancouver,CA$130K - CA$150K (Glassdoor est.),"3.8
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),
"Senior Machine Learning Engineer, Research, AI@Unity","Unity Technologies
4.6",Vancouver,CA$123K - CA$129K (Glassdoor est.),"4.3
★★★★★",398,1001 to 5000 Employees,2005,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,
Senior Data Scientist - Speech Recognition,"Global Relay
3.8",Vancouver,CA$79K - CA$94K (Glassdoor est.),"3.8
★★★★★",98,501 to 1000 Employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),
Senior Data Scientist/ML Engineer,Plenty of Fish,Vancouver,CA$117K - CA$127K (Glassdoor est.),"4.6
★★★★★",20,51 to 200 Employees,2003,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,
Machine Learning Engineer,"DarkVision
5.0",North Vancouver,CA$80K - CA$104K (Glassdoor est.),"5.0
★★★★★",10,51 to 200 Employees,2013,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,
Machine Learning Engineer,"Save-On-Foods
3.5",Langley,CA$41K - CA$82K (Glassdoor est.),"3.5
★★★★★",265,51 to 200 Employees,,Company - Private,Grocery Stores & Supermarkets,Retail,Unknown / Non-Applicable,
"Senior Data Scientist, Machine Learning - 325269","Procom
4.1",Vancouver,CA$101K - CA$110K (Glassdoor est.),"4.1
★★★★★",157,5001 to 10000 Employees,1978,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),
Senior Computer Vision & Machine Learning Applied Scientist,"Prenuvo
5.0",Vancouver,CA$80K - CA$104K (Glassdoor est.),"5.0
★★★★★",4,1 to 50 Employees,,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,
"Senior Machine Learning Engineer, Research, AI@Unity","Unity Technologies
4.6",Vancouver,CA$123K - CA$129K (Glassdoor est.),"4.6
★★★★★",398,1001 to 5000 Employees,2005,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,
Senior Simulation Data Scientist,"Recruiting From Scratch
4.9",Vancouver,CA$83K - CA$141K (Glassdoor est.),"4.9
★★★★★",9,1 to 50 Employees,2019,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),
"Applied Scientist, Personalization","Amazon Dev Centre Canada ULC
3.7",Vancouver,CA$130K - CA$150K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),
Machine Learning Engineer,"Motion Metrics International Corp.
4.4",Vancouver,CA$55K - CA$102K (Glassdoor est.),"4.4
★★★★★",0,51 to 200 Employees,2004,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),
"Manager, Machine Learning","Amazon Dev Centre Canada ULC
3.7",Vancouver,CA$162K - CA$186K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),
Senior Staff Data Scientist (Remote),"Visier
3.7",Vancouver,CA$86K - CA$91K (Glassdoor est.),"3.7
★★★★★",24,201 to 500 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,
Protein Engineer – Applied Scientist,"AbCellera Biologics
4.9",Vancouver,CA$67K - CA$93K (Glassdoor est.),"4.9
★★★★★",0,51 to 200 Employees,,Company - Public,,,Unknown / Non-Applicable,
"Senior Machine Learning Algorithms Engineer, Recommender Systems","Course Hero
4.6",Vancouver,CA$100K - CA$132K (Glassdoor est.),"4.6
★★★★★",112,51 to 200 Employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,
"Software Development Engineer, Machine Learning","Amazon Dev Centre Canada ULC
3.7",Vancouver,CA$100K - CA$135K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),
Machine Learning Scientist,"Variational AI
3.5",Vancouver,CA$80K - CA$104K (Glassdoor est.),"3.5
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,
Machine Learning Engineer,"DarkVision
5.0",North Vancouver,CA$80K - CA$104K (Glassdoor est.),"5.0
★★★★★",10,51 to 200 Employees,2013,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,
Machine Learning Engineer,"Save-On-Foods
3.5",Langley,CA$41K - CA$82K (Glassdoor est.),"3.5
★★★★★",265,51 to 200 Employees,,Company - Private,Grocery Stores & Supermarkets,Retail,Unknown / Non-Applicable,
"Senior Data Scientist, Machine Learning - 325269","Procom
4.1",Vancouver,CA$101K - CA$110K (Glassdoor est.),"4.1
★★★★★",157,5001 to 10000 Employees,1978,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),
"Senior Machine Learning Engineer, Research, AI@Unity","Unity Technologies
4.6",Vancouver,CA$123K - CA$129K (Glassdoor est.),"4.3
★★★★★",398,1001 to 5000 Employees,2005,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,
Machine Learning Scientist,"Variational AI
3.5",Vancouver,CA$80K - CA$104K (Glassdoor est.),"3.5
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,
Protein Engineer – Applied Scientist,"AbCellera Biologics
4.9",Vancouver,CA$67K - CA$93K (Glassdoor est.),"4.9
★★★★★",0,51 to 200 Employees,,Company - Public,,,Unknown / Non-Applicable,
"Software Development Engineer, Machine Learning","Amazon Dev Centre Canada ULC
3.7",Vancouver,CA$100K - CA$135K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),
"Senior Machine Learning Algorithms Engineer, Recommender Systems","Course Hero
4.6",Vancouver,CA$100K - CA$132K (Glassdoor est.),"4.6
★★★★★",112,51 to 200 Employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,
Senior Applied Scientist,"AMZN CAN Fulfillment Svcs, ULC
3.7",Vancouver,CA$130K - CA$150K (Glassdoor est.),"3.7
★★★★★",4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),
Senior Gameplay AI Engineer - Gears of War - The Coalition,"Microsoft
4.4",Vancouver,CA$103K - CA$134K (Glassdoor est.),"4.4
★★★★★",6744,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),
Machine Learning Developer (Full-time),"Motion Metrics International Corp.
4.4",Vancouver,CA$55K - CA$102K (Glassdoor est.),"4.4
★★★★★",0,51 to 200 Employees,2004,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),
Senior Data Scientist,NTT DATA,Vancouver,CA$100K - CA$145K (Glassdoor est.),"3.7
★★★★★",1101,10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),
"Junior Data Scientist, Analytics","FORM
4.6",Vancouver,CA$74K - CA$126K (Glassdoor est.),"4.6
★★★★★",12,51 to 200 Employees,2016,Company - Private,Consumer Electronics & Appliances Stores,Retail,Unknown / Non-Applicable,
Machine Learning Engineer,"Save-On-Foods
3.5",Langley,CA$41K - CA$82K (Glassdoor est.),"3.5
★★★★★",265,51 to 200 Employees,,Company - Private,Grocery Stores & Supermarkets,Retail,Unknown / Non-Applicable,
Junior Machine Learning Engineer / Data Scientist,Virtus Groups,Vancouver,CA$85K - CA$95K (Employer est.),-1,0,1 to 50 Employees,,Unknown,,,Unknown / Non-Applicable,
Data Scientist,"Finning International Inc.
3.7",Vancouver,CA$107K - CA$125K (Glassdoor est.),"3.7
★★★★★",102,10000+ Employees,1933,Company - Public,Commercial Equipment Rental,Business Services,$5 to $10 billion (USD),
Data Science II,"Microsoft
4.4",Vancouver,CA$90K - CA$110K (Glassdoor est.),"4.4
★★★★★",6744,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),
Course Coordinator - Master of Data Science,"University of British Columbia
4.3",Vancouver,CA$52K - CA$75K (Employer est.),"4.3
★★★★★",325,10000+ Employees,1915,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),
Senior Computer Vision & Machine Learning Applied Scientist,"Prenuvo
5.0",Vancouver,CA$80K - CA$104K (Glassdoor est.),"5.0
★★★★★",4,1 to 50 Employees,,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,
Data Scientist (Coop),"Ecoation
4.2",Vancouver,CA$101K - CA$103K (Glassdoor est.),"4.2
★★★★★",0,51 to 200 Employees,2010,Company - Private,Farm Support Services,Agriculture & Forestry,Unknown / Non-Applicable,
Machine Learning/Research Engineer,"BLANKSLATE Partners Inc
4.7",Vancouver,CA$85K - CA$100K (Employer est.),"4.7
★★★★★",0,1 to 50 Employees,2014,Company - Private,Consulting,Business Services,Less than $1 million (USD),
Data Scientist,"University of British Columbia
4.3",Vancouver,CA$66K - CA$95K (Employer est.),"4.3
★★★★★",325,10000+ Employees,1915,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),
Machine Learning Engineer,"Variational AI
3.5",Vancouver,CA$80K - CA$104K (Glassdoor est.),"3.5
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,
Junior Machine Learning Scientist,"Ecoation
4.2",North Vancouver,CA$120K (Glassdoor est.),"4.2
★★★★★",0,51 to 200 Employees,2010,Company - Private,Farm Support Services,Agriculture & Forestry,Unknown / Non-Applicable,
Data Scientist,"Precision NanoSystems
4.5",Vancouver,CA$83K - CA$141K (Glassdoor est.),"4.5
★★★★★",0,1 to 50 Employees,,Company - Private,,,Less than $1 million (USD),
Data Scientist,Empower Operations,Vancouver,CA$50K - CA$70K (Employer est.),-1,0,,,,,,,
Data Scientist - Data Analytics,"TELUS
3.9",Vancouver,CA$86K - CA$108K (Glassdoor est.),"3.9
★★★★★",789,10000+ Employees,1998,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),
Data Scientist,"First West Credit Union
3.6",Langley,CA$98K - CA$119K (Glassdoor est.),"3.6
★★★★★",49,1001 to 5000 Employees,2010,Company - Private,Banks & Credit Unions,Finance,$5 to $10 billion (USD),
Data Scientist,"Seaspan Ship Management Ltd.
3.0",Vancouver,CA$84K - CA$105K (Glassdoor est.),"3.0
★★★★★",31,1001 to 5000 Employees,2005,Company - Public,Shipping,Transportation & Logistics,$1 to $2 billion (USD),
"Junior Data Scientist, Analytics","FORM
4.6",Vancouver,CA$74K - CA$126K (Glassdoor est.),"4.6
★★★★★",12,51 to 200 Employees,2016,Company - Private,Consumer Electronics & Appliances Stores,Retail,Unknown / Non-Applicable,
Machine Learning Engineer,"Save-On-Foods
3.5",Langley,CA$41K - CA$82K (Glassdoor est.),"3.5
★★★★★",265,51 to 200 Employees,,Company - Private,Grocery Stores & Supermarkets,Retail,Unknown / Non-Applicable,
Junior Machine Learning Engineer / Data Scientist,Virtus Groups,Vancouver,CA$85K - CA$95K (Employer est.),-1,0,1 to 50 Employees,,Unknown,,,Unknown / Non-Applicable,
Data Scientist,"Finning International Inc.
3.7",Vancouver,CA$107K - CA$125K (Glassdoor est.),"3.7
★★★★★",102,10000+ Employees,1933,Company - Public,Commercial Equipment Rental,Business Services,$5 to $10 billion (USD),
Data Science II,"Microsoft
4.4",Vancouver,CA$90K - CA$110K (Glassdoor est.),"3.7
★★★★★",1191,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),
Course Coordinator - Master of Data Science,"University of British Columbia
4.3",Vancouver,CA$52K - CA$75K (Employer est.),"4.3
★★★★★",325,10000+ Employees,1915,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),
Senior Computer Vision & Machine Learning Applied Scientist,"Prenuvo
5.0",Vancouver,CA$80K - CA$104K (Glassdoor est.),"5.0
★★★★★",4,1 to 50 Employees,,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,
Data Scientist (Coop),"Ecoation
4.2",Vancouver,CA$101K - CA$103K (Glassdoor est.),"4.2
★★★★★",0,51 to 200 Employees,2010,Company - Private,Farm Support Services,Agriculture & Forestry,Unknown / Non-Applicable,
Machine Learning/Research Engineer,"BLANKSLATE Partners Inc
4.7",Vancouver,CA$85K - CA$100K (Employer est.),"4.7
★★★★★",0,1 to 50 Employees,2014,Company - Private,Consulting,Business Services,Less than $1 million (USD),
Data Scientist,"University of British Columbia
4.3",Vancouver,CA$66K - CA$95K (Employer est.),"4.3
★★★★★",325,10000+ Employees,1915,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),
Machine Learning Engineer,"Variational AI
3.5",Vancouver,CA$80K - CA$104K (Glassdoor est.),"3.5
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,
Junior Machine Learning Scientist,"Ecoation
4.2",North Vancouver,CA$120K (Glassdoor est.),"4.2
★★★★★",0,51 to 200 Employees,2010,Company - Private,Farm Support Services,Agriculture & Forestry,Unknown / Non-Applicable,
Data Scientist,"Precision NanoSystems
4.5",Vancouver,CA$83K - CA$141K (Glassdoor est.),"4.5
★★★★★",0,1 to 50 Employees,,Company - Private,,,Less than $1 million (USD),
Data Scientist,Empower Operations,Vancouver,CA$50K - CA$70K (Employer est.),-1,0,,,,,,,
Data Scientist - Data Analytics,"TELUS
3.9",Vancouver,CA$86K - CA$108K (Glassdoor est.),"3.9
★★★★★",789,10000+ Employees,1998,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),
Data Scientist,"First West Credit Union
3.6",Langley,CA$98K - CA$119K (Glassdoor est.),"3.6
★★★★★",49,1001 to 5000 Employees,2010,Company - Private,Banks & Credit Unions,Finance,$5 to $10 billion (USD),
Data Scientist,"Seaspan Ship Management Ltd.
3.0",Vancouver,CA$84K - CA$105K (Glassdoor est.),"3.0
★★★★★",31,1001 to 5000 Employees,2005,Company - Public,Shipping,Transportation & Logistics,$1 to $2 billion (USD),
"Junior Data Scientist, Analytics","FORM
4.6",Vancouver,CA$74K - CA$126K (Glassdoor est.),"4.6
★★★★★",12,51 to 200 Employees,2016,Company - Private,Consumer Electronics & Appliances Stores,Retail,Unknown / Non-Applicable,
Machine Learning Engineer,"Save-On-Foods
3.5",Langley,CA$41K - CA$82K (Glassdoor est.),"3.5
★★★★★",265,51 to 200 Employees,,Company - Private,Grocery Stores & Supermarkets,Retail,Unknown / Non-Applicable,
Junior Machine Learning Engineer / Data Scientist,Virtus Groups,Vancouver,CA$85K - CA$95K (Employer est.),-1,0,1 to 50 Employees,,Unknown,,,Unknown / Non-Applicable,
Data Scientist,"Finning International Inc.
3.7",Vancouver,CA$107K - CA$125K (Glassdoor est.),"3.7
★★★★★",102,10000+ Employees,1933,Company - Public,Commercial Equipment Rental,Business Services,$5 to $10 billion (USD),
Data Science II,"Microsoft
4.4",Vancouver,CA$90K - CA$110K (Glassdoor est.),"4.4
★★★★★",6744,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),
Course Coordinator - Master of Data Science,"University of British Columbia
4.3",Vancouver,CA$52K - CA$75K (Employer est.),"4.3
★★★★★",325,10000+ Employees,1915,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),
Senior Computer Vision & Machine Learning Applied Scientist,"Prenuvo
5.0",Vancouver,CA$80K - CA$104K (Glassdoor est.),"5.0
★★★★★",4,1 to 50 Employees,,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,
Data Scientist (Coop),"Ecoation
4.2",Vancouver,CA$101K - CA$103K (Glassdoor est.),"4.2
★★★★★",0,51 to 200 Employees,2010,Company - Private,Farm Support Services,Agriculture & Forestry,Unknown / Non-Applicable,
Machine Learning/Research Engineer,"BLANKSLATE Partners Inc
4.7",Vancouver,CA$85K - CA$100K (Employer est.),"4.7
★★★★★",0,1 to 50 Employees,2014,Company - Private,Consulting,Business Services,Less than $1 million (USD),
Data Scientist,"University of British Columbia
4.3",Vancouver,CA$66K - CA$95K (Employer est.),"4.3
★★★★★",325,10000+ Employees,1915,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),
Machine Learning Engineer,"Variational AI
3.5",Vancouver,CA$80K - CA$104K (Glassdoor est.),"3.5
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,
